Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Weight Date_2	Weight_2	Week 22 Weigh Date	Week 22 Weight	Disposal Date	Disposal Code	Disposal Reason
201521901	2	201515	252	4690971914	102	05/28/15	30.4	07/13/15	111.8	08/11/15	184.8	09/09/15	306.5	09/10/15	4	SRSL
201521902	2	201515	252	4690971914	102	05/28/15	33.4	07/13/15	117.9	08/11/15	185.5	09/09/15	303.3	09/10/15	4	SRSL
201521903	2	201515	252	4690971914	102	05/28/15	24.9	07/13/15	107.6	08/11/15	166.5	09/09/15	263.4	09/24/15	4	SRSL
201521904	2	201515	252	4690971914	102	05/28/15	27	07/13/15	102.7	08/11/15	173.9	09/09/15	276.6	09/15/15	4	SRSL
201521905	1	201515	252	4690971914	102	05/28/15	32.3	07/13/15	119	08/11/15	187.1	09/09/15	285.2	09/15/15	4	SRSL
201521906	1	201515	252	4690971914	102	05/28/15	29.6	07/13/15	109.1	08/11/15	171.1	09/09/15	268	09/15/15	4	SRSL
201521907	1	201515	252	4690971914	102	05/28/15	28.4	07/13/15	112.1	08/11/15	191.5	09/09/15	311.2	09/10/15	4	SRSL
201521908	1	201515	252	4690971914	102	05/28/15	28.2	07/13/15	116.8	08/11/15	176.9	09/09/15	296.5	09/10/15	4	SRSL
201521909	1	201515	252	4690971914	102	05/28/15	28.7	07/13/15	106.5	08/11/15	162.3	09/09/15	261.7	09/24/15	4	SRSL
201521910	1	201515	252	4690971914	102	05/28/15	27.9	07/13/15	99.1	08/11/15	167.1	09/09/15	284.3	09/15/15	4	SRSL
201522102	2	201515	252	4690971914	102	05/28/15	34.1	07/13/15	113.9	08/11/15	182.1	09/09/15	295.8	09/15/15	4	SRSL
201522103	2	201515	252	4690971914	102	05/28/15	37	07/13/15	128.2	08/11/15	194.9	09/09/15	300.7	09/10/15	4	SRSL
