Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Weight Date_2	Weight_2	Week 22 Weigh Date	Week 22 Weight	Disposal Date	Disposal Code	Disposal Reason
201421901	2	201413	124	FAST34720Y	112	05/13/14	32	06/18/14	63.6	07/23/14	117.9	09/09/14	213.9	03/05/15	4	SRSL
201421902	2	201413	124	FAST34720Y	112	05/13/14	27.8	06/18/14	49.5	07/23/14	100.4	09/09/14	203.1	12/03/14	4	SRSL
201421903	2	201413	124	FAST34720Y	112	05/13/14	31	06/18/14	70.5	07/23/14	132.3	09/09/14	222.9	09/25/14	4	SRSL
201421906	1	201413	124	FAST34720Y	112	05/13/14	24.7	06/18/14	47	07/23/14	119.7	09/09/14	221.4	09/17/14	4	SRSL
201421907	1	201413	124	FAST34720Y	112	05/13/14	23	06/18/14	54.6	07/23/14	116.2	09/09/14	236.3	09/11/14	4	SRSL
201421908	1	201413	124	FAST34720Y	112	05/13/14	25.1	06/18/14	58	07/23/14	115.9	09/09/14	235.7	09/11/14	4	SRSL
201421909	1	201413	124	FAST34720Y	112	05/13/14	30.5	06/18/14	67.5	07/23/14	135.3	09/09/14	244.7	09/11/14	4	SRSL
201421910	1	201413	124	FAST34720Y	112	05/13/14	28.3	06/18/14	52.6	07/23/14	126	09/09/14	228.7	09/25/14	4	SRSL
201421911	1	201413	124	FAST34720Y	112	05/13/14	26	06/18/14	54.5	07/23/14	119	09/09/14	219.3	09/25/14	4	SRSL
201421912	1	201413	124	FAST34720Y	112	05/13/14	33.5	06/18/14	72.6	07/23/14	151.1	09/09/14	257.2	09/11/14	4	SRSL
201421913	1	201413	124	FAST34720Y	112	05/13/14	26.2	06/18/14	54.1	07/23/14	127.1	09/09/14	231.5	09/17/14	4	SRSL
201422003	2	201413	124	FAST30077Z	112	05/13/14	24.5	06/18/14	56.5	07/23/14	113.2	09/09/14	216.5	10/06/14	4	SRSL
