Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
200959401	2	200906	123	200819704	123	12/28/09	43	02/18/10	113.4	04/15/10	207.5	04/15/10	207.5	12/07/10	6	SLRE
200959402	2	200906	123	200819704	123	12/28/09	42.5	02/18/10	122.2	04/15/10	224.4	04/15/10	224.4	11/05/10	6	SLRE
200959403	2	200906	123	200819704	123	12/28/09	47.8	02/18/10	125.2	04/15/10	233.1	04/15/10	233.1	11/15/10	6	SLRE
200959404	2	200906	123	200819704	123	12/28/09	44.8	02/18/10	113	04/15/10	206.6	04/15/10	206.6	11/22/10	6	SLRE
200959405	2	200906	123	200819704	123	12/28/09	33	02/18/10	102.4	04/15/10	198.2	04/15/10	198.2	12/08/10	6	SLRE
200959406	2	200906	123	200819704	123	12/28/09	46.6	02/18/10	124	04/15/10	243.4	04/15/10	243.4	12/07/10	6	SLRE
200959408	1	200906	123	200819704	123	12/28/09	40.2	02/18/10	131.2	04/15/10	248.1	04/23/10	266.2	04/26/10	6	SLRE
200959501	2	200906	123	200827705	123	12/28/09	42.9	02/18/10	136.1	04/15/10	241.1	04/15/10	241.1	05/12/10	4	SRSL
200959502	2	200906	123	200827705	123	12/28/09	43.5	02/18/10	102.6	04/15/10	216.6	04/15/10	216.6	05/12/10	4	SRSL
200959503	1	200906	123	200827705	123	12/28/09	40.7	02/18/10	126.4	04/15/10	244.6	04/23/10	257	04/26/10	6	SLRE
200959504	2	200906	123	200827705	123	12/28/09	42.8	02/18/10	121.2	04/15/10	223.1	04/15/10	223.1	05/12/10	4	SRSL
200959506	2	200906	123	200827705	123	12/30/09	32.8	02/18/10	99	04/15/10	199.8	04/15/10	199.8	05/12/10	4	SRSL
200959507	1	200906	123	200827705	123	12/28/09	46.3	02/18/10	125.7	04/15/10	235.7	04/23/10	248	04/26/10	6	SLRE
200959508	1	200906	123	200827705	123	12/28/09	44.2	02/18/10	135.6	04/15/10	243.8	04/23/10	255.4	04/26/10	6	SLRE
200960101	2	200906	123	200820008	123	12/28/09	47.7	02/18/10	141.8	04/15/10	242.3	04/15/10	242.3	05/12/10	4	SRSL
200960102	2	200906	123	200820008	123	12/28/09	45.7	02/18/10	131.2	04/15/10	239.7	04/15/10	239.7	05/12/10	4	SRSL
200960103	2	200906	123	200820008	123	12/28/09	39.1	02/18/10	114	04/15/10	216.6	04/15/10	216.6	05/12/10	4	SRSL
200960104	2	200906	123	200820008	123	12/28/09	43.6	02/18/10	126.4	04/15/10	242.4	04/15/10	242.4	05/12/10	4	SRSL
200960105	2	200906	123	200820008	123	12/28/09	42.2	02/18/10	101.8	04/15/10	223.8	04/15/10	223.8	05/12/10	4	SRSL
200960107	2	200906	123	200820008	123	12/28/09	44.8	02/18/10	119.8	04/15/10	231.5	04/15/10	231.5	05/12/10	4	SRSL
