Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201359101	2	201335	124	4700597811	112	10/17/13	32.3	10/17/13	32.3	01/22/14	188.8	01/22/14	188.8	04/29/14	4	SRSL
201359102	2	201335	124	4700597811	112	10/17/13	31.5	10/17/13	31.5	01/22/14	188.7	01/22/14	188.7	05/20/14	4	SRSL
201359103	2	201335	124	4700597811	112	10/17/13	27.2	10/17/13	27.2	01/22/14	191.2	01/22/14	191.2	05/20/14	4	SRSL
201359104	2	201335	124	4700597811	112	10/17/13	28.1	10/17/13	28.1	01/22/14	190.2	01/22/14	190.2	02/25/14	4	SRSL
201359105	1	201335	124	4700597811	112	10/17/13	41.4	10/17/13	41.4	01/22/14	219.2	01/22/14	219.2	02/06/14	4	SRSL
201359106	1	201335	124	4700597811	112	10/17/13	36.4	10/17/13	36.4			10/17/13	36.4	10/29/13	3	PERI
201359107	1	201335	124	4700597811	112	10/17/13	42.4	10/17/13	42.4	01/22/14	233	01/22/14	233	02/06/14	4	SRSL
201359108	1	201335	124	4700597811	112	10/17/13	41.3	10/17/13	41.3	01/22/14	226.7	01/22/14	226.7	02/06/14	4	SRSL
201359109	1	201335	124	4700597811	112	10/17/13	36.1	10/17/13	36.1	01/22/14	221.6	01/22/14	221.6	02/06/14	4	SRSL
201359110	1	201335	124	4700597811	112	10/17/13	31.8	10/17/13	31.8	01/22/14	198.5	01/22/14	198.5	02/10/14	4	SRSL
201359201	2	201335	124	4700886112	112	10/17/13	23.5	10/17/13	23.5	01/22/14	168.8	01/22/14	168.8	03/11/14	4	SRSL
201359202	2	201335	124	4700886112	112	10/17/13	26.1	10/17/13	26.1	01/22/14	192.3	01/22/14	192.3	02/25/14	4	SRSL
201359203	2	201335	124	4700886112	112	10/17/13	26.8	10/17/13	26.8	01/22/14	174.3	01/22/14	174.3	03/11/14	4	SRSL
201359204	2	201335	124	4700886112	112	10/17/13	22.5	10/17/13	22.5	01/22/14	179.4	01/22/14	179.4	11/23/15	6	SLRE
201359205	2	201335	124	4700886112	112	10/17/13	21.5	10/17/13	21.5	01/22/14	172.5	01/22/14	172.5	03/11/14	4	SRSL
201359207	1	201335	124	4700886112	112	10/17/13	25.7	10/17/13	25.7	01/22/14	221.2	01/22/14	221.2	02/06/14	4	SRSL
201359208	1	201335	124	4700886112	112	10/17/13	26.2	10/17/13	26.2	01/22/14	221.7	01/22/14	221.7	02/06/14	4	SRSL
201359209	1	201335	124	4700886112	112	10/17/13	24.8	10/17/13	24.8	01/22/14	230.1	01/22/14	230.1	02/06/14	4	SRSL
201359212	1	201335	124	4700886112	112	10/17/13	25.8	10/17/13	25.8	01/22/14	212.4	01/22/14	212.4	02/06/14	4	SRSL
201359301	2	201335	124	4700597811	112	10/17/13	36.8	10/17/13	36.8	01/22/14	199.8	01/22/14	199.8	02/10/14	4	SRSL
201359302	2	201335	124	4700597811	112	10/17/13	36.2	10/17/13	36.2	01/22/14	184.9	01/22/14	184.9	02/25/14	4	SRSL
201359303	2	201335	124	4700597811	112	10/17/13	33	10/17/13	33	01/22/14	190	01/22/14	190	04/29/14	4	SRSL
201359305	2	201335	124	4700597811	112	10/17/13	28.6	10/17/13	28.6	01/22/14	186.1	01/22/14	186.1	04/15/15	4	SRSL
201359307	1	201335	124	4700597811	112	10/17/13	29.7	10/17/13	29.7	01/22/14	210.1	01/22/14	210.1	02/06/14	4	SRSL
201359309	1	201335	124	4700597811	112	10/17/13	36.1	10/17/13	36.1	01/22/14	205.9	01/22/14	205.9	02/25/14	4	SRSL
201359310	1	201335	124	4700597811	112	10/17/13	33	10/17/13	33	01/22/14	209.1	01/22/14	209.1	02/10/14	4	SRSL
201359402	2	201335	124	4700597811	112	10/17/13	26.2	10/17/13	26.2	01/22/14	197.3	01/22/14	197.3	04/29/14	4	SRSL
201359409	1	201335	124	4700597811	112	10/17/13	25	10/17/13	25	01/22/14	192.4	01/22/14	192.4	02/25/14	4	SRSL
201359411	1	201335	124	4700597811	112	10/17/13	24.2	10/17/13	24.2	01/22/14	196.5	01/22/14	196.5	02/10/14	4	SRSL
201359501	2	201335	124	4700886112	112	10/17/13	27.4	10/17/13	27.4	01/22/14	183.9	01/22/14	183.9	02/25/14	4	SRSL
201359503	2	201335	124	4700886112	112	10/17/13	25	10/17/13	25	01/22/14	175.6	01/22/14	175.6	12/12/14	6	SLRE
201359504	2	201335	124	4700886112	112	10/17/13	24.2	10/17/13	24.2	01/22/14	165.2	01/22/14	165.2	05/20/14	4	SRSL
201359507	1	201335	124	4700886112	112	10/17/13	27.9	10/17/13	27.9	01/22/14	204.9	01/22/14	204.9	02/10/14	4	SRSL
201359602	2	201335	124	280710712	112	10/17/13	25.3	10/17/13	25.3	01/22/14	179.2	01/22/14	179.2	02/25/14	4	SRSL
201359607	1	201335	124	280710712	112	10/17/13	28	10/17/13	28	01/22/14	215.7	01/22/14	215.7	02/06/14	4	SRSL
201359608	1	201335	124	280710712	112	10/17/13	22.2	10/17/13	22.2	01/22/14	211.2	01/22/14	211.2	02/06/14	4	SRSL
201359610	1	201335	124	280710712	112	10/17/13	25.3	10/17/13	25.3	01/22/14	168.5	01/22/14	168.5	03/11/14	4	SRSL
