Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201050601	2	201006	123	200932811	123	12/22/10	40.4	12/22/10	40.4	04/06/11	243.4	04/06/11	243.4	09/13/11	6	SLRE
201050602	2	201006	123	200932811	123	12/22/10	47	12/22/10	47	04/06/11	221.5	04/06/11	221.5	09/27/11	6	SLRE
201050603	2	201006	123	200932811	123	12/22/10	37.9	12/22/10	37.9	04/06/11	207.6	04/06/11	207.6	09/27/11	6	SLRE
201050604	2	201006	123	200932811	123	12/22/10	33.3	12/22/10	33.3	04/06/11	183.1	04/06/11	183.1	09/27/11	6	SLRE
201050605	1	201006	123	200932811	123	12/22/10	43.8	12/22/10	43.8	04/06/11	226.4	04/06/11	226.4	04/28/11	4	SRSL
201050606	1	201006	123	200932811	123	12/22/10	30.3	12/22/10	30.3	04/06/11	204	04/06/11	204	05/06/11	4	SRSL
201050607	1	201006	123	200932811	123	12/22/10	41.5	12/22/10	41.5	04/06/11	243.3	04/06/11	243.3	04/28/11	4	SRSL
201050608	1	201006	123	200932811	123	12/22/10	47.5	12/22/10	47.5	04/06/11	193.8	04/06/11	193.8	05/06/11	4	SRSL
201050609	1	201006	123	200932811	123	12/22/10	39	12/22/10	39	04/06/11	204.6	04/06/11	204.6	05/06/11	4	SRSL
201050610	1	201006	123	200932811	123	12/22/10	35	12/22/10	35	04/06/11	210.4	04/06/11	210.4	03/12/12	3	INJ
201050701	2	201006	123	200928208	123	12/22/10	40.2	12/22/10	40.2	04/06/11	227.6	04/06/11	227.6	09/13/11	6	SLRE
201050702	2	201006	123	200928208	123	12/22/10	34.4	12/22/10	34.4	04/06/11	210.4	04/06/11	210.4	09/27/11	6	SLRE
201050704	2	201006	123	200928208	123	12/22/10	34.4	12/22/10	34.4	04/06/11	230.1	04/06/11	230.1	08/29/11	3	ARTH
201050705	2	201006	123	200928208	123	12/22/10	34.4	12/22/10	34.4	04/06/11	218.9	04/06/11	218.9	09/13/11	6	SLRE
201050706	1	201006	123	200928208	123	12/22/10	40.4	12/22/10	40.4	04/06/11	243.2	04/06/11	243.2	04/28/11	4	SRSL
201050707	1	201006	123	200928208	123	12/22/10	39.3	12/22/10	39.3	04/06/11	255	04/06/11	255	04/28/11	4	SRSL
201050708	1	201006	123	200928208	123	12/22/10	36.7	12/22/10	36.7	04/06/11	237.9	04/06/11	237.9	04/28/11	4	SRSL
201050801	2	201006	123	200932811	123	12/22/10	34.2	12/22/10	34.2	04/06/11	197.8	04/06/11	197.8	09/13/11	6	SLRE
201050802	2	201006	123	200932811	123	12/22/10	31.2	12/22/10	31.2	04/06/11	207	04/06/11	207	09/20/11	6	SLRE
201050803	2	201006	123	200932811	123	12/22/10	29.9	12/22/10	29.9	04/06/11	204.8	04/06/11	204.8	09/27/11	6	SLRE
201050804	1	201006	123	200932811	123	12/22/10	36.5	12/22/10	36.5	04/13/11	236	04/13/11	236	04/28/11	4	SRSL
201050805	1	201006	123	200932811	123	12/22/10	35.9	12/22/10	35.9	04/13/11	250.6	04/13/11	250.6	04/28/11	4	SRSL
201050806	1	201006	123	200932811	123	12/22/10	32.2	12/22/10	32.2	04/13/11	200.4	04/13/11	200.4	05/06/11	4	SRSL
201050807	1	201006	123	200932811	123	12/22/10	32	12/22/10	32	04/06/11	199.1	04/06/11	199.1	05/06/11	4	SRSL
201050808	1	201006	123	200932811	123	12/22/10	31.2	12/22/10	31.2			12/22/10	31.2	01/08/11	3	ULCR
201050809	1	201006	123	200932811	123	12/22/10	31.8	12/22/10	31.8	04/13/11	211.6	04/13/11	211.6	05/06/11	4	SRSL
201050810	1	201006	123	200932811	123	12/22/10	27.2	12/22/10	27.2	04/06/11	194.8	04/06/11	194.8	05/06/11	4	SRSL
201051201	2	201006	123	200932811	123	12/22/10	32.3	12/22/10	32.3	04/06/11	198.4	04/06/11	198.4	09/27/11	6	SLRE
201051202	2	201006	123	200932811	123	12/22/10	26.1	12/22/10	26.1	04/06/11	172.4	04/06/11	172.4	09/20/11	6	SLRE
201051203	2	201006	123	200932811	123	12/22/10	27.8	12/22/10	27.8	04/06/11	181.6	04/06/11	181.6	09/13/11	6	SLRE
201051204	2	201006	123	200932811	123	12/22/10	22.5	12/22/10	22.5	04/06/11	160.9	04/06/11	160.9	09/27/11	6	SLRE
201051205	2	201006	123	200932811	123	12/22/10	27.6	12/22/10	27.6	04/06/11	183.5	04/06/11	183.5	09/13/11	6	SLRE
201051206	2	201006	123	200932811	123	12/22/10	34.4	12/22/10	34.4	04/06/11	194.5	04/06/11	194.5	09/20/11	6	SLRE
201051207	2	201006	123	200932811	123	12/22/10	26.6	12/22/10	26.6	04/06/11	157.6	04/06/11	157.6	09/13/11	6	SLRE
201051208	1	201006	123	200932811	123	12/22/10	28.3	12/22/10	28.3	04/13/11	201.3	04/13/11	201.3	05/06/11	4	SRSL
201051209	1	201006	123	200932811	123	12/22/10	29.3	12/22/10	29.3	04/13/11	204.8	04/13/11	204.8	05/06/11	4	SRSL
201051210	1	201006	123	200932811	123	12/22/10	26.1	12/22/10	26.1	04/13/11	194.6	04/13/11	194.6	05/17/11	4	SRSL
201051301	2	201006	123	200928208	123	12/22/10	29.8	12/22/10	29.8	04/06/11	169.6	04/06/11	169.6	09/27/11	6	SLRE
201051302	2	201006	123	200928208	123	12/22/10	28	12/22/10	28	04/06/11	186.8	04/06/11	186.8	09/27/11	6	SLRE
201051303	2	201006	123	200928208	123	12/22/10	26.9	12/22/10	26.9	04/06/11	192.8	04/06/11	192.8	09/27/11	6	SLRE
201051304	2	201006	123	200928208	123	12/22/10	29.3	12/22/10	29.3	04/13/11	205.5	04/13/11	205.5	09/27/11	6	SLRE
201051305	1	201006	123	200928208	123	12/22/10	27	12/22/10	27	04/06/11	179.8	04/06/11	179.8	05/18/11	4	SRSL
201051306	1	201006	123	200928208	123	12/22/10	27.4	12/22/10	27.4	04/06/11	186.6	04/06/11	186.6	05/06/11	4	SRSL
201051307	1	201006	123	200928208	123	12/22/10	28.9	12/22/10	28.9	04/06/11	171	04/06/11	171	05/18/11	4	SRSL
201051308	1	201006	123	200928208	123	12/22/10	30.9	12/22/10	30.9	04/06/11	212.6	04/06/11	212.6	04/28/11	4	SRSL
201051401	2	201006	123	200932811	123	12/22/10	33.7	12/22/10	33.7	04/06/11	206.6	04/06/11	206.6	09/20/11	6	SLRE
201051402	2	201006	123	200932811	123	12/22/10	30.9	12/22/10	30.9	04/06/11	204.4	04/06/11	204.4	09/27/11	6	SLRE
201051403	2	201006	123	200932811	123	12/22/10	29	12/22/10	29	04/06/11	184.9	04/06/11	184.9	09/27/11	6	SLRE
201051404	2	201006	123	200932811	123	12/22/10	29.7	12/22/10	29.7	04/06/11	196.5	04/06/11	196.5	09/13/11	6	SLRE
201051405	2	201006	123	200932811	123	12/22/10	19.2	12/22/10	19.2	04/13/11	140.9	04/13/11	140.9	09/20/11	6	SLRE
201051407	1	201006	123	200932811	123	12/22/10	23.5	12/22/10	23.5	04/06/11	184.8	04/06/11	184.8	05/06/11	4	SRSL
201051408	1	201006	123	200932811	123	12/22/10	27.1	12/22/10	27.1	04/06/11	173.5	04/06/11	173.5	05/17/11	4	SRSL
201051409	1	201006	123	200932811	123	12/22/10	21.6	12/22/10	21.6	04/06/11	146	04/06/11	146	06/03/11	3	PNEU
201051410	1	201006	123	200932811	123	12/22/10	28.3	12/22/10	28.3	04/06/11	202.3	04/06/11	202.3	05/06/11	4	SRSL
201051411	1	201006	123	200932811	123	12/22/10	25.1	12/22/10	25.1	04/06/11	181.2	04/06/11	181.2	05/17/11	4	SRSL
201051412	1	201006	123	200932811	123	12/22/10	25.5	12/22/10	25.5	04/06/11	174.9	04/06/11	174.9	03/08/12	4	SRSL
201051701	2	201006	123	200927307	123	12/22/10	24.5	12/22/10	24.5	04/06/11	193.7	04/06/11	193.7	05/06/11	4	SRSL
201051702	2	201006	123	200927307	123	12/22/10	27.1	12/22/10	27.1	04/06/11	180.6	04/06/11	180.6	05/18/11	4	SRSL
201051703	2	201006	123	200927307	123	12/22/10	32	12/22/10	32	04/06/11	211.5	04/06/11	211.5	04/28/11	4	SRSL
201051704	2	201006	123	200927307	123	12/22/10	33.7	12/22/10	33.7	04/06/11	222	04/06/11	222	04/28/11	4	SRSL
201051705	2	201006	123	200927307	123	12/22/10	28.1	12/22/10	28.1	04/06/11	207.2	04/06/11	207.2	05/06/11	4	SRSL
201051706	1	201006	123	200927307	123	12/22/10	33.2	12/22/10	33.2	04/06/11	210.6	04/06/11	210.6	04/28/11	4	SRSL
201051707	1	201006	123	200927307	123	12/22/10	29.9	12/22/10	29.9	04/06/11	213.3	04/06/11	213.3	04/28/11	4	SRSL
201051708	1	201006	123	200927307	123	12/22/10	30.8	12/22/10	30.8	04/13/11	236.8	04/13/11	236.8	04/28/11	4	SRSL
201051709	1	201006	123	200927307	123	12/22/10	34.9	12/22/10	34.9	04/13/11	251.2	04/13/11	251.2	04/28/11	4	SRSL
201051711	1	201006	123	200927307	123	12/22/10	29	12/22/10	29	04/13/11	215.9	04/13/11	215.9	05/06/11	4	SRSL
201052301	2	201006	123	200927307	123	12/22/10	37.8	12/22/10	37.8	04/06/11	250.4	04/06/11	250.4	09/20/11	6	SLRE
201052302	2	201006	123	200927307	123	12/22/10	41.7	12/22/10	41.7	04/06/11	235	04/06/11	235	09/13/11	6	SLRE
