Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201200601	2	201201	124	500154003	103	02/23/12	37.6	05/25/12	191.8	05/25/12	191.8	05/25/12	191.8	04/08/14	4	SRSL
201200603	2	201201	124	500154003	103	02/23/12	41.2	05/25/12	200.6	05/25/12	200.6	05/25/12	200.6	10/02/12	4	SRSL
201200604	2	201201	124	500154003	103	02/23/12	31.7	05/25/12	181	05/25/12	181	05/25/12	181	06/29/12	4	SRSL
201200605	2	201201	124	500154003	103	02/23/12	33.5	05/25/12	164.6	05/25/12	164.6	05/25/12	164.6	07/11/12	4	SRSL
201200606	1	201201	124	500154003	103	02/03/12	19.6	05/25/12	196.2	05/25/12	196.2	05/25/12	196.2	06/22/12	4	SRSL
201200701	2	201201	124	502235004	103	02/23/12	40.4	05/25/12	179.3	05/25/12	179.3	05/25/12	179.3	01/29/13	4	SRSL
201200704	1	201201	124	502235004	103	02/03/12	24.4	02/03/12	24.4			02/03/12	24.4	03/20/12	3	UNK
201200705	1	201201	124	502235004	103	02/03/12	20	05/25/12	195.4	05/25/12	195.4	05/25/12	195.4	06/22/12	4	SRSL
201200902	2	201201	124	506351002	103	02/23/12	34.7	05/25/12	206.2	05/25/12	206.2	05/25/12	206.2	04/21/14	6	SLRE
201200903	2	201201	124	506351002	103	02/23/12	32.9	05/25/12	182.4	05/25/12	182.4	05/25/12	182.4	06/22/12	4	SRSL
201200904	2	201201	124	506351002	103	02/03/12	24.9	05/25/12	200.2	05/25/12	200.2	05/25/12	200.2	06/22/12	4	SRSL
201200905	2	201201	124	506351002	103	02/23/12	32.6	05/25/12	174	05/25/12	174	05/25/12	174	06/29/12	4	SRSL
201200906	2	201201	124	506351002	103	02/23/12	30.9	05/25/12	180	05/25/12	180	05/25/12	180	06/29/12	4	SRSL
201200908	2	201201	124	506351002	103	02/23/12	30.3	05/25/12	187.9	05/25/12	187.9	05/25/12	187.9	12/04/12	4	SRSL
201201001	2	201201	124	502235004	103	02/23/12	35.8	05/25/12	203.4	05/25/12	203.4	05/25/12	203.4	02/06/13	3	SEPT
201201002	2	201201	124	502235004	103	02/23/12	33.1	05/25/12	184.6	05/25/12	184.6	05/25/12	184.6	06/22/12	4	SRSL
201201004	2	201201	124	502235004	103	02/23/12	32.9	05/25/12	185.8	05/25/12	185.8	05/25/12	185.8	04/09/14	6	SLRE
