Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201022501	2	201003	123	200932811	123	06/29/10	45.4	06/29/10	45.4	10/05/10	210.9	10/05/10	210.9	01/26/11	4	SRSL
201022502	2	201003	123	200932811	123	06/29/10	43.7	06/29/10	43.7	10/05/10	205.1	10/05/10	205.1	01/10/12	4	SRSL
201022503	2	201003	123	200932811	123	06/29/10	37.4	06/29/10	37.4	10/05/10	195	10/05/10	195	02/22/11	6	SLRE
201022504	2	201003	123	200932811	123	06/29/10	35	06/29/10	35	10/05/10	206.9	10/05/10	206.9	02/24/11	6	SLRE
201022505	2	201003	123	200932811	123	06/29/10	39.6	06/29/10	39.6	10/05/10	204.1	10/05/10	204.1	06/15/11	4	SRSL
201022506	2	201003	123	200932811	123	06/29/10	39.3	06/29/10	39.3	10/05/10	204.6	10/05/10	204.6	10/30/12	4	SRSL
201022507	2	201003	123	200932811	123	06/29/10	41.2	06/29/10	41.2	10/05/10	220.1	10/05/10	220.1	09/12/12	6	SLRE
201022509	1	201003	123	200932811	123	06/29/10	42.1	06/29/10	42.1	10/05/10	222	10/05/10	222	10/19/10	4	SRSL
201022511	1	201003	123	200932811	123	06/29/10	42	06/29/10	42	10/05/10	245.4	10/05/10	245.4	10/19/10	4	SRSL
201022512	1	201003	123	200932811	123	06/29/10	38.2	06/29/10	38.2	10/05/10	185.3	10/05/10	185.3	11/09/10	4	SRSL
201022513	1	201003	123	200932811	123	06/29/10	31.9	06/29/10	31.9	10/05/10	198	10/05/10	198	11/09/10	4	SRSL
201022601	2	201003	123	200930305	123	06/29/10	35.9	06/29/10	35.9	10/05/10	202.1	10/05/10	202.1	02/24/11	6	SLRE
201022602	2	201003	123	200930305	123	06/29/10	35.1	06/29/10	35.1	10/05/10	191.5	10/05/10	191.5	03/05/12	6	SLRE
201022603	2	201003	123	200930305	123	06/29/10	43.4	06/29/10	43.4	10/05/10	202.8	10/05/10	202.8	05/18/11	4	SRSL
201022604	2	201003	123	200930305	123	06/29/10	41.5	06/29/10	41.5	10/05/10	186.4	10/05/10	186.4	02/22/11	4	SRSL
201022606	2	201003	123	200930305	123	06/29/10	35.2	06/29/10	35.2	10/05/10	182.6	10/05/10	182.6	01/21/11	4	SRSL
201022610	1	201003	123	200930305	123	06/29/10	36.6	06/29/10	36.6	10/05/10	202.8	10/05/10	202.8	11/09/10	4	SRSL
201022701	2	201003	123	200931004	123	06/29/10	50.8	06/29/10	50.8	10/05/10	224	10/05/10	224	07/24/12	4	SRSL
201022702	2	201003	123	200931004	123	06/29/10	55.1	06/29/10	55.1	10/05/10	224.4	10/05/10	224.4	11/29/12	6	SLRE
201022703	2	201003	123	200931004	123	06/29/10	49.5	06/29/10	49.5	10/05/10	214.2	10/05/10	214.2	01/10/12	4	SRSL
201022706	1	201003	123	200931004	123	06/29/10	59.3	06/29/10	59.3	10/05/10	256	10/05/10	256	10/19/10	4	SRSL
201022707	1	201003	123	200931004	123	06/29/10	41.4	06/29/10	41.4	10/05/10	204.6	10/05/10	204.6	11/09/10	4	SRSL
201022708	1	201003	123	200931004	123	06/29/10	51.7	06/29/10	51.7	10/05/10	261.2	10/05/10	261.2	10/19/10	4	SRSL
201022709	1	201003	123	200931004	123	06/29/10	48	06/29/10	48	10/05/10	225.8	10/05/10	225.8	10/19/10	4	SRSL
201022710	1	201003	123	200931004	123	06/29/10	51.3	06/29/10	51.3	10/05/10	252.4	10/05/10	252.4	10/19/10	4	SRSL
201022712	1	201003	123	200931004	123	06/29/10	40.1	06/29/10	40.1	10/05/10	229.8	10/05/10	229.8	10/19/10	4	SRSL
201022801	2	201003	123	200931906	123	06/29/10	50.9	06/29/10	50.9	10/05/10	243.3	10/05/10	243.3	06/15/11	4	SRSL
201022802	2	201003	123	200931906	123	06/29/10	42.9	06/29/10	42.9	10/05/10	219.4	10/05/10	219.4	02/22/11	6	SLRE
201022803	1	201003	123	200931906	123	06/29/10	50.3	06/29/10	50.3	10/05/10	218.8	10/05/10	218.8	10/19/10	4	SRSL
201023001	2	201003	123	200928405	123	06/29/10	33.7	06/29/10	33.7	10/05/10	210.3	10/05/10	210.3	02/22/11	4	SRSL
201023002	2	201003	123	200928405	123	06/29/10	39.9	06/29/10	39.9	10/05/10	210.4	10/05/10	210.4	08/23/12	6	SLRE
201023003	2	201003	123	200928405	123	06/29/10	38.4	06/29/10	38.4	10/05/10	200.5	10/05/10	200.5	08/03/11	4	SRSL
201023004	2	201003	123	200928405	123	06/29/10	34.9	06/29/10	34.9	10/12/10	193.2	10/12/10	193.2	11/09/10	4	SRSL
201023005	2	201003	123	200928405	123	06/29/10	39.5	06/29/10	39.5	10/05/10	204.6	10/05/10	204.6	11/08/11	4	SRSL
201023006	2	201003	123	200928405	123	06/29/10	37.1	06/29/10	37.1	10/05/10	201.9	10/05/10	201.9	04/06/11	4	SRSL
201023007	2	201003	123	200928405	123	06/29/10	37	06/29/10	37	10/05/10	210.2	10/05/10	210.2	11/09/10	4	SRSL
201023101	2	201003	123	200930305	123	06/29/10	47.5	06/29/10	47.5	10/05/10	206.8	10/05/10	206.8	10/06/11	6	SLRE
201023201	2	201003	123	200926609	123	06/29/10	37.9	06/29/10	37.9	10/05/10	195.8	10/05/10	195.8	03/23/11	4	SRSL
201023203	2	201003	123	200926609	123	06/29/10	39.1	06/29/10	39.1	10/05/10	194.7	10/05/10	194.7	06/15/11	4	SRSL
201023204	2	201003	123	200926609	123	06/29/10	36.7	06/29/10	36.7	10/05/10	206.6	10/05/10	206.6	09/26/12	6	SLRE
201023206	2	201003	123	200926609	123	06/29/10	37.6	06/29/10	37.6	10/05/10	182.9	10/05/10	182.9	11/09/10	4	SRSL
201023207	2	201003	123	200926609	123	06/29/10	34.8	06/29/10	34.8	10/05/10	187	10/05/10	187	11/09/10	4	SRSL
201023208	2	201003	123	200926609	123	06/29/10	36.4	06/29/10	36.4	10/05/10	197.6	10/05/10	197.6	08/13/12	6	SLRE
201023401	2	201003	123	200931004	123	06/29/10	45.5	06/29/10	45.5	10/05/10	213.8	10/05/10	213.8	09/12/12	6	SLRE
201023402	2	201003	123	200931004	123	06/29/10	36.3	06/29/10	36.3	10/05/10	156	10/05/10	156	02/24/11	6	SLRE
