Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
200829302	2	200804	123	200718912	123	08/29/08	46.1	10/16/08	106.4	12/09/08	217	01/12/09	290	01/12/09	4	SLRE
200829307	1	200804	123	200718912	123	08/29/08	49.7	10/16/08	114.6	12/09/08	220.6	01/07/09	272.6	01/08/09	6	SLRE
200829308	1	200804	123	200718912	123	08/29/08	39.8	10/16/08	116.4	12/09/08	228.4	12/09/08	228.4	01/06/09	6	SLRE
200829404	1	200804	123	200718912	123	08/29/08	46.7	10/16/08	115.6	12/09/08	207.4	01/12/09	256	01/12/09	4	SLRE
200829502	2	200804	123	200719504	123	08/29/08	37.7	10/16/08	109.2	12/09/08	217.4	01/12/09	278	01/12/09	4	SLRE
200829504	2	200804	123	200719504	123	08/29/08	36.2	10/16/08	105.2	12/09/08	195	01/12/09	255	01/12/09	4	SLRE
200829508	1	200804	123	200719504	123	08/29/08	38.2	10/16/08	113.4	12/09/08	218.2	01/20/09	271.6	01/21/09	6	SLRE
200829509	1	200804	123	200719504	123	08/29/08	35.2	10/16/08	108.4	12/09/08	178.6	01/12/09	250	01/12/09	4	SLRE
200829603	2	200804	123	200719809	123	08/29/08	34.9	10/16/08	117.8	12/09/08	201.8	01/12/09	266	01/12/09	4	SLRE
200829605	2	200804	123	200719809	123	08/29/08	32.8	10/16/08	102.2	12/09/08	187.2	01/23/09	224.8	01/26/09	6	SLRE
200829609	1	200804	123	200719809	123	08/29/08	36.2	10/16/08	126.4	12/09/08	220	01/07/09	268.4	01/08/09	6	SLRE
200829610	1	200804	123	200719809	123	08/29/08	38.9	10/16/08	126	12/09/08	232.8	12/09/08	232.8	01/06/09	6	SLRE
200829702	2	200804	123	200718912	123	08/29/08	40.5	10/16/08	102	12/09/08	190.8	01/12/09	248	01/12/09	4	SLRE
200829707	1	200804	123	200718912	123	08/29/08	39.4	10/16/08	120.8	12/09/08	220.4	01/07/09	280.8	01/08/09	6	SLRE
200829802	2	200804	123	200719208	123	08/29/08	37.9	10/16/08	102.6	12/09/08	217	01/12/09	286	01/12/09	4	SLRE
200829803	2	200804	123	200719208	123	08/29/08	41.2	10/16/08	120.6	12/09/08	217	01/12/09	282	01/12/09	4	SLRE
200829806	1	200804	123	200719208	123	08/29/08	35	10/16/08	124.4	12/09/08	217.4	01/12/09	280	01/12/09	4	SLRE
200829809	1	200804	123	200719208	123	08/29/08	30.2	10/23/08	116	12/15/08	230.1	12/15/08	230.1	01/06/09	6	SLRE
200830005	1	200804	123	200718805	123	08/29/08	36.2	10/16/08	110.8	12/09/08	213.2	01/12/09	273	01/12/09	4	SLRE
200830103	2	200804	123	200720007	123	08/29/08	39.4	10/16/08	105.6	12/09/08	187.4	01/12/09	247	01/12/09	4	SLRE
200830104	2	200804	123	200720007	123	08/27/08	33.4	10/16/08	92	12/09/08	178.6	01/20/09	229.4	01/21/09	6	SLRE
200830105	2	200804	123	200720007	123	08/29/08	33.7	10/16/08	105.2	12/09/08	204.6	01/12/09	263	01/12/09	4	SLRE
200830107	1	200804	123	200720007	123	08/29/08	30	10/23/08	114	12/15/08	202.2	01/12/09	257	01/12/09	4	SLRE
200830109	1	200804	123	200720007	123	08/29/08	35.4	10/16/08	113.8	12/09/08	211.8	01/12/09	268	01/12/09	4	SLRE
200830112	1	200804	123	200720007	123	08/29/08	29.6	10/23/08	109	12/15/08	197.6	01/12/09	240	01/12/09	4	SLRE
200830208	1	200804	123	200720505	123	08/29/08	47.1	10/16/08	127.6	12/09/08	231.4	12/09/08	231.4	01/06/09	6	SLRE
200830209	1	200804	123	200720505	123	08/29/08	48.6	10/16/08	140	12/09/08	240.8	12/09/08	240.8	01/06/09	6	SLRE
200830302	2	200804	123	200718912	123	08/29/08	42.9	10/16/08	104.2	12/09/08	202.4	01/12/09	253	01/12/09	4	SLRE
200830402	2	200804	123	200719208	123	08/29/08	46.5	10/16/08	128	12/09/08	245.2	12/09/08	245.2	01/06/09	6	SLRE
200830405	1	200804	123	200719208	123	08/27/08	44.1	10/16/08	119.6	12/09/08	233.6	12/09/08	233.6	01/06/09	6	SLRE
200830505	2	200804	123	200718912	123	08/29/08	33.9	10/16/08	94.4	12/09/08	181.2	01/12/09	257	01/12/09	4	SLRE
200830507	2	200804	123	200718912	123	08/29/08	26.2	10/23/08	92.8	12/15/08	182.4	01/12/09	226	01/12/09	4	SLRE
200830511	1	200804	123	200718912	123	08/29/08	33.6	10/16/08	106.8	12/09/08	201.6	01/12/09	240	01/12/09	4	SLRE
200830512	1	200804	123	200718912	123	08/29/08	32.9	10/16/08	93.4	12/09/08	178	01/12/09	233	01/12/09	4	SLRE
