Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201478302	2	201444	124	536835004	103	12/15/14	39.6	03/18/15	234.5	04/08/15	277.3	04/08/15	277.3	07/08/15	4	SRSL
201478303	2	201444	124	536835004	103	12/15/14	35.4	03/18/15	222.5	04/08/15	271.6	04/08/15	271.6	07/01/15	4	SRSL
201478309	2	201444	124	536835004	103	12/15/14	29	03/18/15	208.1	04/08/15	255.5	04/08/15	255.5	01/30/17	6	SEBD
201478311	1	201444	124	536835004	103	12/15/14	39.4	03/18/15	235.7	04/08/15	285.5	04/08/15	285.5	04/09/15	4	SRSL
201478501	2	201444	124	533081005	103	12/15/14	30.6	03/18/15	234.1	04/08/15	274.4	04/08/15	274.4	07/08/15	4	SRSL
201478504	2	201444	124	533081005	103	12/15/14	35.9	03/18/15	231.2	04/08/15	279.5	04/08/15	279.5	07/08/15	4	SRSL
201478507	1	201444	124	533081005	103	12/15/14	35.6	03/18/15	252.7	04/08/15	301.3	04/08/15	301.3	04/09/15	4	SRSL
201478510	1	201444	124	533081005	103	12/15/14	36.9	03/18/15	231.6	04/08/15	277.2	04/08/15	277.2	04/09/15	4	SRSL
201478601	2	201444	252	8727	102	12/15/14	40.8	03/18/15	243.1	04/08/15	297.6	04/08/15	297.6	04/09/15	4	SRSL
201478602	2	201444	252	8727	102	12/15/14	39.7	03/18/15	258.3	04/08/15	300.6	04/08/15	300.6	04/09/15	4	SRSL
201478603	2	201444	252	8727	102	12/15/14	32.1	03/18/15	212.7	04/08/15	256.4	04/08/15	256.4	04/16/15	4	SRSL
201478607	1	201444	252	8727	102	12/15/14	36	03/18/15	249.6	04/08/15	305.1	04/08/15	305.1	04/09/15	4	SRSL
201478608	1	201444	252	8727	102	12/15/14	37.6	03/18/15	263.2	04/08/15	318.8	04/08/15	318.8	04/09/15	4	SRSL
201478612	1	201444	252	8727	102	12/15/14	33.7	03/18/15	226.7	04/08/15	265.9	04/08/15	265.9	04/09/15	4	SRSL
201478614	1	201444	252	8727	102	12/15/14	29	12/15/14	29			12/15/14	29	03/02/15	3	ENT
201478616	1	201444	252	8727	102	12/15/14	30.8	03/18/15	198.2	04/08/15	241.1	04/08/15	241.1	04/16/15	4	SRSL
201478702	2	201444	124	533081005	103	12/15/14	38.7	03/18/15	228.3	04/08/15	269.2	04/08/15	269.2	08/06/15	4	SRSL
201478703	2	201444	124	533081005	103	12/15/14	29.9	03/18/15	209.2	04/08/15	245.5	04/08/15	245.5	07/01/15	4	SRSL
201478704	2	201444	124	533081005	103	12/15/14	33.3	03/18/15	208.6	04/08/15	251.8	04/08/15	251.8	04/16/15	4	SRSL
201478706	2	201444	124	533081005	103	12/15/14	28.7	03/18/15	202.8	04/08/15	245.4	04/08/15	245.4	07/23/15	4	SRSL
201478801	2	201444	124	536835004	103	12/15/14	31.7	03/18/15	187.8	04/08/15	222.7	04/08/15	222.7	06/20/16	6	SEPG
201478809	1	201444	124	536835004	103	12/15/14	30.4	03/18/15	202.8	04/08/15	246	04/08/15	246	04/09/15	4	SRSL
201478901	2	201444	124	113863002	112	12/15/14	30.4	12/15/14	30.4			12/15/14	30.4	01/27/15	3	ENT
201478902	2	201444	124	113863002	112	12/15/14	37.6	03/18/15	206.5	04/08/15	245.7	04/08/15	245.7	04/16/15	4	SRSL
201478903	2	201444	124	113863002	112	12/15/14	31.8	03/18/15	201.1	04/08/15	228.7	04/08/15	228.7	04/16/15	4	SRSL
201478904	2	201444	124	113863002	112	12/15/14	20.3	03/18/15	191.4	04/08/15	235.9	04/08/15	235.9	04/16/15	4	SRSL
201478905	2	201444	124	113863002	112	12/15/14	29.9	03/18/15	191.3	04/08/15	229.6	04/08/15	229.6	04/16/15	4	SRSL
201478907	1	201444	124	113863002	112	12/15/14	31	03/18/15	220.6	04/08/15	265	04/08/15	265	04/09/15	4	SRSL
201478909	1	201444	124	113863002	112	12/15/14	27.6	03/18/15	218.6	04/08/15	257.4	04/08/15	257.4	04/09/15	4	SRSL
201479001	2	201444	124	536835004	103	12/15/14	26.3	03/18/15	189.2	04/08/15	225.4	04/08/15	225.4	04/16/15	4	SRSL
201479002	2	201444	124	536835004	103	12/15/14	29.7	03/18/15	210.3	04/08/15	249.1	04/08/15	249.1	04/16/15	4	SRSL
